,EMPLOYER_ADDRESS_1,EMPLOYER_LATITUDE,EMPLOYER_LONGITUDE
14,534 McLain Cemetery Road,32.2697469,-82.2490093
39,9465 Miami Valley Rd,32.553645523349275,-83.80071037863027
75,30 Sand Creek Rd,31.471666430531506,-83.57328568965006
100,30 Sand Creek Rd,31.471666430531506,-83.57328568965006
122,1935 Ross Bowen Road,32.11300020535304,-82.22728546877391
172,316 BIRD DOG CIRCLE,32.28949736808358,-82.21564068404179
178,2999 Old Collins Cobbtown Road,32.224772,-82.129802
182,524 Plant Farm Road,31.0762859,-83.394542
204,237 Red Rock Road,31.582132163265307,-83.98780326530613
231,611 Church Street,34.60336995053605,-83.75512829201209
232,1284 Hatch Parkway N,31.7902269,-82.3517574
252,562 Coy Cox Rd.,31.326278483239296,-83.58703448550895
349,788 Sam Beasley Road,32.016598,-82.36939
358,"1188 Lawson Rd., ",32.071654525082074,-82.35261614433124
415,116 6th Street South,31.9658077,-83.7810748
422,1012 W. CENTRAL AVE,31.18007208510638,-83.79998627659573
468,153 smith st,31.407043070707072,-83.33042826262626
492,1935 Ross Bowen Road,32.11300020535304,-82.22728546877391
528,172 Herring Road,31.430013848364048,-83.88488759361465
634,13 BRONCO RD,34.68760772406251,-85.30175500514089
744,2188 Nail Road,31.739086,-82.438788
745,773 Pine Level Church Rd,31.691602129730747,-83.1815291308976
762,2188 Nail Rd,31.739086,-82.438788
776,5064 Walkerville Road,31.38947,-82.1458818
796,195 Ty Ty Omega Rd,31.44824962556132,-83.61526339178704
854,382 Hwy 125 S. ,34.6376812,-84.5053886
984,13901 Veterans Memorial Hwy,33.726,-84.8307158
986,949 Marshall Clark Road,34.07028665375039,-83.72058972207147
1004,116 6th Street South,31.9658077,-83.7810748
1012,3440 Musella Road,32.796675233108026,-84.02787623572372
1043,199 CRAWLEY GAP ROAD,34.82253761996215,-83.97934313493944
1063,175 Happy Hollow Road ,33.686218795867866,-84.97349258551232
1083,437 Commerce Road,31.962814333976503,-84.11273360067358
1154,678 Patterson Rd,34.69874713513835,-85.2697262565627
1166,215 Harmony Church Rd,33.74996028299901,-83.66026416217771
1177,3667 Ellenton-Norman Park Rd.,31.20900504450461,-83.58425666986196
1321,2576 Bell Rd.,34.049971,-84.13438
1447,5575 Zenith Mill Rd,32.61195630909652,-83.96927265345258
1510,153 smith st,31.407043070707072,-83.33042826262626
1541,530 Chappell Mill Rd.,33.18277037466151,-84.12712853500182
1592,526 Buchanan Hwy,33.84943651467278,-84.96123679627014
1743,2328 Hwy 268,31.75828739353595,-82.75586631158906
1774,204 Circle Dr,34.255427243057866,-84.46986874150203
1878,5340 Cornelia Highway,34.42172324363499,-83.65155003552191
1912,324 Howard Brannen Road,31.739872282097803,-82.36391251547961
1959,225 William Pope Road,33.83929343882014,-83.1529812052776
1974,614 Patterson Rd,34.69928889606343,-85.26997927112312
2040,2485 DORIS RD,31.426023890115317,-82.13337370692051
2063,174 Scott Dr,33.94700041823926,-84.50269804923846
2105,849 Branch Road,31.926670685664376,-82.38473035064573
2257,104 San Marco Drive,32.00351143412925,-80.86342388143733
2285,1658 Turner Church Rd.,33.46907170048546,-84.08871044770433
2455,199 CRAWLEY GAP ROAD,34.82253761996215,-83.97934313493944
2650,1487 Black Dirt Rd ,33.504705013646294,-84.85648309749384
2692,241 Frank Hutcheson Rd,32.61005692745695,-82.48487636115858
